_id,geometry,ogc_fid0,fid,m_id,link_p,sector,dev_pro,pro_note,pro_dev,cap_inv_m,cap_inv,nat_pro,job_creat,sta_oper,pro_dur,land_a,dir_name,nat,eia_rep,eia_l,com_stat,par_com,com_type,reg_add,csr_prog,soc_envi,r_cdc,cdc_date,sub_n,sub_d,location,village,commune,district,pro_loc,data_c,reference,lat,long,note_co
11,0101000020887F00002448EBD0BB05164155E9D1F7D6B93241,11,11,12,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=12,Industrial development,SEZ,"Garment, carton printing plastic label, and knitting",Oknha Mong SEZ,40.1,"40,107,080",,,,,100,Mong Rithy,Cambodia,,,Feb 2014__Infrastructure developing,,,,,,26,04 Jan 2007,,,Koh Kong,,Srae Ambel,Srae Ambel,Koh Kong,Secondary data,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;CDC__22.04.2013.pdf;Cambodian_SEZ_Board__01.07.2009.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;Cambodian_Economy__00.11.2010.pdf,11.098991,103.725594,Commune
12,0101000020887F0000165D093FB666154188CAC30F851D3241,12,12,13,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=13,Industrial development,SEZ,,Kampong Saom SEZ,190.0,"190,000,000",,,,,255,Kith Meng,Cambodia,,,Feb 2014__Infrastructure developing: landfilling and building Kampot Seaport.,,,,,,21,06 Jan 2009,,,Preah Sihanouk,,Ou Treh,Stung Hav,Preah Sihanouk,Secondary data,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;CDC__22.04.2013.pdf;Cambodian_SEZ_Board__01.07.2009.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;Cambodian_Economy__00.11.2010.pdf,10.736762,103.63408,Commune
13,0101000020887F0000D37FC86F0BB122415164D127C5A63241,13,13,14,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=14,Industrial development,SEZ,,P (SEZ) I C,70.0,"70,000,000",,,,,107.55,"Chea Eav Meng, Gau Hieck Huor, Yin Phanny, Sim Moniroth, Ly Vireak",Cambodia,,,Feb 2014__Infrastructure developing,,,,,,20,06 Jan 2009,,,Svay Rieng,Salatean and Preytob,Chrak Mtes,Svay Teab,Svay Rieng,Secondary data,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;All_SEZ_list_by_2009.pdf;CDC__22.04.2013.pdf;Cambodian_SEZ_Board__01.07.2009.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf,11.055782,106.029818,Commune
14,0101000020887F00004425EE1517AC12415630E42801DF3241,14,14,15,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=15,Industrial development,SEZ,"Car parts supplier, garment factory, sports goods, motor Hyundai",Kiri Sakor Koh Kong SEZ,110.8,"110,818,860",,,2008,,1750,Ly Yong Phat,Cambodia,,,Feb 2014__Infrastructure developing,,,,"Solving land issue, development program, and charity",,4762,25 Dec 2007,125,5 September 2008,Koh Kong,,"Prek Khsach,Phnhi Meas",Kiri Sakor,Koh Kong,Secondary data,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;All_SEZ_list_by_2009.pdf;Sub_decree_No_125__15_09_2008.pdf;CDC__22.04.2013.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;Cambodian_Economy__00.11.2010.pdf;Lyp_group_brochure__00.00.0000.pdf;Lyp_group__00.00.2022.pdf,11.182451,103.22264,Project location (Sub-decree)
15,0101000020887F00001A70647AED3F1541728E43F35BE93141,15,15,16,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=16,Industrial development,SEZ,,S.N.C SEZ,14.0,"14,000,000",,,,,150,Kong Triv,Cambodia,,,Feb 2014__Infrastructure developing,,,,,,3388,26 Nov 2002,,,Preah Sihanouk,,Bet Trang,Prey Nob,Preah Sihanouk,Secondary data,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;All_SEZ_list_by_2009.pdf;CDC__22.04.2013.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf,10.615929,103.611933,Commune
16,0101000020887F000020152B5203351541B2074D48841A3241,16,16,17,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=17,Industrial development,SEZ,"Industrial/manufacturing, sand extraction, deep water container port & associated infrastructure",Stung Hav SEZ,14.0,"14,000,000",,,,99,192,Lim Chhiv Ho,Cambodia,,,Feb 2014__Infrastructure developing,,,,,,544; 1114,18 Feb 2005; 28 May 2010,50,25 March 2005,Preah Sihanouk,,O'Tres,Stung Hav,Preah Sihanouk,Secondary data,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;All_SEZ_list_by_2009.pdf;CDC__22.04.2013.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;Major_Infrastructure_Investment_Opportunity__00.00.2009.pdf;Analysis_actual_situation_construction_industry_cambodia__00.09.2016.pdf;Cambodian_Economy__00.11.2010.pdf,10.729682,103.60503,Project location (Google)
17,0101000020887F00006EAD0A53CE591541DA36CE77E21B3241,17,17,18,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=18,Industrial development,SEZ,100 MW coal-red power geneartion plant and powr plant of 3x 135 MW by coal-red,Sihanoukville SEZ 1,100.0,"100,000,000",,424,,,178,Lav Meng Khin,Cambodia,,,Feb 2014__Infrastructure developing,,,,,,1966,04 Sep 1998,113,25 October 2006,Preah Sihanouk,,O'Tres,Stung Hav,Preah Sihanouk,Government data,All_SEZ_list_by_2009.pdf;Sub_decree_No_113__25.10.2006.pdf;CDC__22.04.2013.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf,10.732944,103.626545,Commune
18,0101000020887F00005F4F41D2F64E154130DD91F487E53141,18,18,19,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=19,Industrial development,SEZ,"Manufacture of wire harnesses for home electronics, aluminum frames for flat tvs (founded hanger, bicycles, garment, leather products, electronic parts, floor and plywood, tv frame and electric parts, hair products, underwear garments, lever arch & ring mechanism, and sofa cover of leather)",Sihanoukville SEZ 2,320.0,"320,000,000",,"8,967",,,1113.96,Lav Meng Khin,Cambodia,,,"Feb 2014__Infrastructure developing: building fence, roads, adminstrative building, entrance, electricity, water, and telecommunication system.",,,,,,3479; 2162,05 Sep 2007; 29 June 2007,24,17 March 2008,Preah Sihanouk,,"Bet Trang, Ream",Prey Nob,Preah Sihanouk,Government data,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;All_SEZ_list_by_2009.pdf;Sub-Decree_No_24__17.03.2008.pdf;CDC__22.04.2013.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf,10.607107,103.620768,Project location (Google)
19,0101000020887F000068A7E52D29971441AC6E376C30F63141,19,19,20,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=20,Industrial development,SEZ,"Corrugated cardboard boxes (products using more shipment), cosmetic product, piano reconditioning",Sihanoukville Port SEZ,34.0,"34,000,000",Japan,416,,,70,Pas & Jbic Loan Cp-P6,Cambodia,,,Feb 2014__Infrastructure developing,,,,,,502,08 Feb 2008,147,2 September 2009,Preah Sihanouk,,"Sangkat Mouy, Sangkat Bei",Preah Sihanouk,Preah Sihanouk,Government data,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;All_SEZ_list_by_2009.pdf;CDC__22.04.2013.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;Sub_Decree_No_147__02.09.2009.pdf,10.645173,103.513075,Project location (Google)
20,0101000020887F00003D88556C0DFB0F4176890095FD983441,20,20,21,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=21,Industrial development,SEZ,"Exchange goods, a warehouse for agricultural products, a casino, a golf club, a sports club, a parking lot and a petrol station",MDS Thmorda SEZ,30.4,"30,392,000",,,2010,,2265,Try Pheap,Cambodia,,,Feb 2014__Infrastructure developing,MDS Investment group,Private Limited Company,"No. 10 AB, Street 271, Tuek L'ak Bei, Tuol Kouk, Phnom Penh, Cambodia",,,2030,30 Sep 2010,,,Pursat,,Thma Da,Veal Veaeng,Pursat,Secondary data,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;CDC__22.04.2013.pdf;Cambodian_Center_Human_Rights__07.10.2019.pdf,12.20231,102.812398,Commune
21,0101000020887F0000BCA6EDE7D3CF22410BDFB5FCFCAC3241,21,21,22,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=22,Industrial development,SEZ,,N.L.C SEZ,13.0,"13,000,000",,,,,105,Leang Vouch Chheng,Cambodia,,,Feb 2014__Infrastructure developing,,,,,,2403,15 Jul 2005,,,Svay Rieng,,Chrak Mtes,Svay Teab,Svay Rieng,Secondary data,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;All_SEZ_list_by_2009.pdf;CDC__22.04.2013.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;Cambodian_Economy__00.11.2010.pdf,11.070051,106.065939,Commune
22,0101000020887F0000B3252458179A2741513467C280113741,22,22,23,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=23,Industrial development,SEZ,Rubber,Try Pheap Ou Ya Dav SEZ,45.0,"44,994,360",,,,,136,Try Pheap,Cambodia,,,2015__Infrastructure developing,,Private Limited Company,"No. 1A, Street 271, Tuek L'ak Bei, Tuol Kouk, Phnom Penh, Cambodia",,,765/13,19 Apr 2013,219,7 May 2013,Ratanak Kiri,Bork Gnai,Pak Nhai,Ou Ya Dav,Ratanak Kiri,Government data,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;Sub_Decree_No_219__07.05.2013.pdf;Ratanakiri_Province_eng__00.00.0000.pdf,13.662346,107.527203,Commune
23,0101000020887F00008965C9259C90224154DD4A0433A13241,23,23,24,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=24,Industrial development,SEZ,Porcelain decoration and tableware,Hi-Park SEZ,62.8,"62,784,780",,"1,510",,,263.13,Lin Mao-Fong,China,,,2015__Infrastructure developing ,,Private Limited Company,"National Road 1, Thnal Cheat, Chrak Mtes, Svay Teab, Svay Rieng, Cambodia",,,131/13,16 Jan 2013,285,30 May 2013,Svay Rieng,,Chrak Mtes,Bavet,Svay Rieng,Government data,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;Sub_Decree_No_285__30.05.2013.pdf;Hi_Park_Special_Economic_Zone__00.00.0000.pdf;Economic_Trade_Cooporation_Zones_Along_Belt_Road_Workshop_Series__00.02.2021.pdf,11.043013,105.99177,Village
24,0101000020887F0000A728D23F189A2241A17504E0409E3241,24,24,25,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=25,Industrial development,SEZ,"Electrical equipment, christmas lights, light bulb and lamp-components plant, clothing material, garment, pad products, curtain, iron products, pipe, packaging",Shandong Sunshell Svay Rieng SEZ,36.7,"36,709,800",,"2,700",2013,,96.14,Zhou Yong,"China, Taiwan, Hungary, Japan",,,,,Private Limited Company,"Chrey Thum, Prey Angkunh, Chantrea, Svay Rieng, 20207, Cambodia",,,607/13,27 Mar 2013,462,1 July 2013,Svay Rieng,,Prey Angkunh,Bavet,Svay Rieng,Government data,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;Sub_Decree_No_462__01.07.2013.pdf;Determination_No_41__30.10.2013.pdf;CDC_greenlights_five_projects_worth_$1.3B__28.03.2021.pdf;Cambodia_SEZPolicy_Shanghai__17.10.2016.pdf,11.036157,106.00286,Commune
25,0101000020887F0000AF2D24973FAA1C41F09A8FB487473441,25,25,26,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=26,Industrial development,SEZ,"Metal brewing and processing, the manufacture and repair of temples and shrines",Zhong Jian Jin Bian Jing Ji Te Qu SEZ,90.7,"90,706,000",,,2013,,470.28,Chan An Drew,China,,, 2015__Infrastructure developing,Beijing Propoerties (Holdings),Private Limited Company,"K6, K, Tonle Basak, Chamkar Mon, Phnom Penh, Cambodia",,,767/13,19 Apr 2013,466,22 July 2013,Kampong Chhnang,,Ta Ches,Kampong Tralach,Kampong Chhnang,Government data,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;Sub_Decree_No_466__22.07.2013.pdf;Economic_Trade_Cooporation_Zones_Along_Belt_Road_Workshop_Series__00.02.2021.pdf;Beijing_Enterprises_Group_Company_Promoting_Projects_Hong_Kong__00.11.2017.pdf;Economic_Trade_Cooporation_Zones_Along_Belt_Road_Workshop_Series__00.02.2021.pdf;Zhong_Jian_Jin_Bian_Jing_Ji_Te_Qu_Ltd__00.00.2019.pdf,12.022271,104.721158,Commune
26,0101000020887F000037320762AC5B0D414D63D7514B0D3741,26,26,27,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=27,Industrial development,SEZ,"Automobile seat parts, electronic parts, steel structure, wiring harness",Sanco Cambo SEZ,38.6,"38,613,485",,989,2012,50,66.5,"Chhour Vichet, Takahiro Yamamoto","Cambodia, Japan",,,,,Private Limited Company,"No. 16Bo-17-18, Russian Federation Blvd, Trapeang Chhuk, Tuek Thla, Sen Sok, Phnom Penh, Cambodia",,,911/13,03 May 2013,481,11 September 2013,Banteay Meanchey,Phsar Kandal,Phsar Kandal,Poipet,Banteay Meanchey,Government data,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;Sub_Decree_No_481__11.09.2013.pdf;Cambodia_SEZPolicy_Shanghai__17.10.2016.pdf,13.653887,102.601206,Project location (Google)
27,0101000020887F0000907CA92815C322413012F8AD509F3241,27,27,28,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=28,Industrial development,SEZ,"Watch exterior parts, garment, tobacco, shoes",Dragon King Bavet SEZ,40.5,"40,488,000",,581,2012,,106.5,Ngov Mok,Cambodia,,,2015__Infrastructure developing,,Private Limited Company,"No. 17Eo, Street 338, Phum 9, Tuol Svay Prey Pir, Chamkar Mon, Phnom Penh, Cambodia",,,1875/12,16 Aug 2012,190,25 October 2012,"Road No.1, Ang Sela Village, Prey Angkunh Commune, Bavet City, Svay Rieng Province",Ang Sela,Prey Angkunh,Bavet,Svay Rieng,Government data,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;Decision_No_40__30.10.2013.pdf,11.038452,106.050892,Project location (Google)
28,0101000020887F000092A646A734162041698CCE89BF2D3341,28,28,29,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=29,Industrial development,SEZ,"Warehouse renting, land lease, dry port, rice bank, and distribution warehouse",Sovannaphum SEZ,55.8,"55,792,000",,207,2008,,204.58,Aswin Techajareonvikul,Thailand,,,,,,"No. 1, Somrong Kaer Village, Somrongthom Commune, Kiensvay District, Kandal Province, Cambodia",,,,21 Nov 2013,60,11 February 2014,Kandal,Somrong Kaer,Samraong Thum,Kien Svay,Kandal,Government data,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;Sub_Decree_No_60__10.02.2014.pdf;suvannaphum__00.00.2017.pdf;Economic_Trade_Cooporation_Zones_Along_Belt_Road_Workshop_Series__00.02.2021.pdf;Suvannaphum_opercorporates__00.00.2018.pdf;Dry_port_warehouse_unveiled_KandalSEZ__07.07.2017.pdf,11.369936,105.248661,Village
29,0101000020887F0000AA0C737DEE3A1E417CE7EB8D93A33341,29,29,31,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=31,Industrial development,SEZ,"Dry port, warehouse (agricultural warehousing hub)",Kandal SEZ,84.7,"84,739,160",,,,,105,Lim Chong Soo,Korea,,,2015__Infrastructure Developing,,Private Limited Company,,,,1143/12,04 Jun 2012,,,Kandal,,Prek Ampil,Khsach Kandal,Kandal,Secondary data,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;Dry_port_warehouse_unveiled_KandalSEZ__07.07.2017.pdf,11.642832,104.956804,Project location (Google)
30,0101000020887F0000A2FA0788213917415CB4A7183CF43141,30,30,32,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=32,Industrial development,SEZ,"Environmental facilities management business and system consulting business, design and construct real estate leasing and commercial buildings.",H.K.T SEZ,48.4,"48,358,802",,,2012,,345.2,"Sy Kong Triv, Hann Khien, Vinh Huor, Feng Ying, Shen Jian Ping, Lui Bin, Li Cheng Chun Richard",,,,2015__Infrastructure Developing,,Private Limited Company,"No. 313-315, Street Mao Setung, Phsar Daeum Kor, Tuol Kouk, Phnom Penh, Cambodia",,,1862/12,15 Aug 2012,189,25 October 2012,Preah Sihanouk,,Tuek Thla,Prey Nob,Preah Sihanouk,Secondary data,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;HKT_Special_Economic_Zone__12.04.2021.pdf,10.642271,103.907369,Commune
31,0101000020887F000002DD27546BFE15414CF67C0043873241,31,31,33,https://opendevelopmentcambodia.net/en/profiles/special-economic-zones/?feature_id=33,Industrial development,SEZ,,Ratana SEZ,172.9,"172,866,660",,,,,615.62,Heng Sok Meng,Cambodia,,,2015__Infrastructure Developing,,,,,,131/13,16 Jan 2013,,,Koh Kong,,Chroy Svay,Sre Ambel,Koh Kong,Secondary data,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf,10.981901,103.721815,Commune
